city,country,lat,lon,temp,temp_min,temp_max,pressure,humidity,cloudiness,wind_speed,timestamp
clyde river,CA,70.4692,-68.5914,285.28,285.28,285.28,1005,66,75,5.14,1627420781
kaka,TM,37.3482,59.6143,302.11,302.11,302.11,1007,20,0,1.65,1627420782
port lincoln,AU,-34.7333,135.8667,284.72,284.72,284.72,1004,66,3,11.78,1627420782
gornopravdinsk,RU,60.05,69.9,282.72,282.72,282.72,1004,98,76,2.15,1627420783
izumo,JP,35.3667,132.7667,299.12,299.12,299.12,1003,89,98,1.33,1627420783
maldonado,UY,-34.6667,-54.9167,281.81,281.81,282.16,1016,66,24,9.46,1627420785
yar-sale,RU,66.8333,70.8333,281.73,281.73,281.73,1001,66,99,4.75,1627420786
dong hoi,VN,17.4833,106.6,301.09,301.09,301.09,999,75,100,3.16,1627420786
west wendover,US,40.7391,-114.0733,306.71,306.71,306.71,1018,26,1,4.63,1627420787
khandyga,RU,62.6667,135.6,288.23,288.23,288.23,1005,66,48,2.72,1627420787
westport,NZ,-41.7526,171.6037,281.52,281.52,281.52,1016,82,73,1.78,1627420789
port hardy,CA,50.6996,-127.4199,288.15,288.15,288.15,1020,71,44,2.83,1627420506
pedernales,EC,0.0833,-80.05,298.04,298.04,298.04,1011,82,93,2.81,1627420789
broken hill,AU,-31.95,141.4333,285.83,285.83,285.83,1007,88,97,6.77,1627420791
